user_pseudo_id,session_start,first_visit,page_view,scroll,click,view_search_results,file_download,video_start,video_progress,video_complete,user_engagement
103587823.1632678569,1,1,1,0,0,0,0,0,0,0,0
1828235815.1632932136,1,1,1,0,0,0,0,0,0,0,1
356783460.1634069150,1,1,1,1,0,0,0,0,0,0,1
1308087367.1630085925,1,1,1,1,0,0,0,0,0,0,1
774514126.1634148012,2,1,1,0,0,0,0,0,0,0,1
1471606383.1612554354,1,1,3,1,0,0,0,0,0,0,3
1509101277.1632387699,2,1,4,2,1,0,0,0,0,0,4
1302679004.1635784960,1,1,1,1,0,0,0,0,0,0,1
1380129619.1624010036,1,1,1,0,0,0,0,0,0,0,1
1277720513.1633446236,3,1,2,0,0,0,0,2,4,0,0
1867530836.1617111607,1,1,1,1,0,0,0,0,0,0,1
31939543.1616498170,1,1,1,0,0,0,0,0,0,0,1
785682692.1619100833,1,1,2,1,0,0,0,0,0,0,2
264089831.1632832133,2,1,1,0,0,0,0,0,0,0,1
1338003544.1614606377,2,1,2,2,0,0,0,0,0,0,2
600045660.1614590581,1,1,1,0,0,0,0,0,0,0,1
1288694708.1634892584,2,1,1,0,0,0,0,0,0,0,1
788363506.1624261173,1,1,1,0,0,0,0,0,0,0,1
1630065169.1617977360,2,1,1,1,0,0,0,0,0,0,1
569291378.1617949932,1,1,1,0,0,0,0,0,0,0,1
810343619.1617894799,2,1,1,0,0,0,0,0,0,0,1
767220662.1631525667,1,1,1,0,0,0,0,0,0,0,1
1475575085.1631551258,1,1,1,0,0,0,0,0,0,0,1
861104865.1632308821,2,1,1,0,0,0,0,0,0,0,1
266654628.1610462122,2,1,1,1,0,0,0,0,0,0,1
1098125119.1626086933,1,1,1,0,0,0,0,0,0,0,1
1006468534.1626466214,1,1,1,1,0,0,0,0,0,0,0
882321034.1626407680,1,1,1,0,0,0,0,0,0,0,1
1147759280.1635501117,2,1,1,1,0,0,0,0,0,0,1
1682122429.1626278845,1,1,3,0,1,0,0,0,0,0,2
875013936.1609824050,1,1,3,0,0,0,0,0,0,0,2
1056530181.1618297773,1,1,1,0,0,0,0,0,0,0,1
1862602665.1620042219,1,1,1,0,0,0,0,0,0,0,1
1599016828.1627550772,1,1,4,4,0,0,0,0,0,0,4
796529351.1633280841,1,1,1,0,0,0,0,0,0,0,1
260437310.1632498388,3,1,3,1,0,0,0,0,0,0,3
1200396658.1632231181,1,1,1,0,0,0,0,0,0,0,1
1751791074.1614173290,2,1,1,0,0,0,0,0,0,0,1
1584034834.1628269087,1,1,1,0,0,0,0,0,0,0,1
1386959622.1622219526,6,1,6,0,0,0,0,1,2,0,0
1940083741.1636750129,1,1,1,0,0,0,0,0,0,0,1
1929930819.1631023912,1,1,1,0,0,0,0,0,0,0,1
1067699464.1631093620,1,1,3,0,0,0,0,0,0,0,3
1298992965.1616057780,3,1,2,1,0,0,0,0,0,0,2
637536058.1632172871,2,1,1,1,0,0,0,0,0,0,1
2098302243.1623668214,1,1,1,1,0,0,0,0,0,0,1
483870653.1622280594,1,1,1,1,0,0,0,0,0,0,0
1582204883.1615901087,1,1,1,1,0,0,0,0,0,0,0
313759528.1615884608,0,0,1,1,0,0,0,0,0,0,1
1783887259.1630610963,1,1,1,0,0,0,0,0,0,0,1
836339592.1624321835,2,1,2,1,0,0,0,0,0,0,2
1427653016.1625228332,2,1,1,0,0,0,0,0,0,0,1
1341255095.1638271480,2,1,9,5,0,0,0,1,0,0,7
1282649350.1625143867,2,1,1,0,0,0,0,0,0,0,1
1687366650.1632759302,1,1,1,0,0,0,0,0,0,0,0
1535432525.1629161372,1,1,1,0,0,0,0,0,0,0,0
618776432.1620756947,1,1,1,1,0,0,0,0,0,0,1
592002227.1635456021,1,1,1,1,0,0,0,0,0,0,1
1157004599.1616004297,1,1,1,1,0,0,0,0,0,0,1
1930502788.1631780028,1,1,4,4,0,0,0,0,0,0,4
1569675430.1613764071,1,1,1,1,0,0,0,3,1,1,0
1781067961.1635321575,1,1,1,1,0,0,0,0,0,0,1
1347393156.1620373604,1,1,1,1,0,0,0,0,0,0,0
